P,PET,Qobs,Qsim
0.1000,0.5700,1.3230,1.599
0.0000,0.5700,1.2430,1.508
0.0000,0.5700,1.1960,1.429
0.2000,0.5600,1.1560,1.360
0.2000,0.5800,1.1170,1.300
0.0000,0.5800,1.0800,1.246
0.0000,0.5800,1.0500,1.198
0.0000,0.5800,1.0170,1.154
0.0000,0.5700,0.9870,1.114
0.0000,0.5700,0.9570,1.078
0.0000,0.5700,0.9270,1.045
0.0000,0.5600,0.8940,1.014
0.0000,0.5600,0.8640,0.986
0.0000,0.5500,0.8340,0.960
0.0000,0.5300,0.8040,0.935
0.0000,0.5200,0.7740,0.913
0.0000,0.5100,0.7410,0.891
0.0000,0.5100,0.7540,0.871
1.9000,0.5000,0.7740,0.875
0.3000,0.5000,0.8570,0.906
2.1000,0.4900,0.8840,0.896
0.0000,0.4900,0.8840,0.926
14.1000,0.4800,0.9800,1.127
6.2000,0.4800,2.2760,1.806
2.1000,0.4700,2.0770,1.912
0.2000,0.4600,1.5320,1.741
0.3000,0.4600,1.3690,1.582
0.0000,0.4600,1.0800,1.484
0.0000,0.4600,0.9570,1.408
0.9000,0.4600,0.8870,1.352
0.1000,0.4600,0.8710,1.314
0.0000,0.4600,0.8570,1.255
0.0000,0.4600,0.8440,1.203
0.0000,0.4600,0.8310,1.159
0.2000,0.4600,0.8210,1.120
0.0000,0.4600,0.8080,1.084
0.0000,0.4600,0.7980,1.051
0.2000,0.4700,0.7840,1.021
0.0000,0.4700,0.7740,0.993
0.0000,0.4800,0.7610,0.967
0.0000,0.4800,0.7510,0.943
1.6000,0.4900,0.7380,0.940
7.3000,0.4900,0.8840,1.083
5.2000,0.5000,1.6950,1.423
2.3000,0.5000,2.2100,1.548
0.0000,0.5400,1.6780,1.472
0.0000,0.5500,1.2330,1.353
0.0000,0.5600,1.0670,1.282
0.0000,0.5600,1.0100,1.230
0.0000,0.5600,0.9500,1.183
0.0000,0.5600,0.9300,1.141
0.0000,0.5600,0.9200,1.103
0.0000,0.5600,0.9110,1.067
0.3000,0.5500,0.9040,1.035
0.0000,0.5500,0.8940,1.006
0.0000,0.4900,0.8840,0.978
0.0000,0.4800,0.8570,0.953
0.0000,0.4800,0.8210,0.929
0.0000,0.4700,0.7840,0.907
4.0000,0.4700,0.7510,0.945
0.2000,0.4700,0.9840,1.056
1.1000,0.4800,0.9840,1.000
0.1000,0.4800,0.9170,0.976
0.0000,0.4900,0.8810,0.944
0.0000,0.4900,0.8470,0.917
0.0000,0.5000,0.8170,0.895
0.1000,0.5300,0.7880,0.875
0.0000,0.5400,0.7580,0.856
0.0000,0.5500,0.7610,0.838
0.0000,0.5700,0.7740,0.821
0.0000,0.5800,0.7640,0.805
0.0000,0.5900,0.7540,0.789
0.0000,0.6000,0.7480,0.775
0.3000,0.6100,0.7380,0.761
3.5000,0.6300,0.8670,0.789
12.2000,0.6400,1.6020,1.056
2.2000,0.6400,2.2100,1.482
9.1000,0.6600,2.8080,1.537
4.5000,0.6700,2.2260,1.889
3.0000,0.6900,2.6750,1.950
2.6000,0.7100,1.9770,1.910
2.2000,0.7300,1.8110,1.881
0.2000,0.7500,1.5820,1.804
0.0000,0.7700,1.3990,1.661
0.0000,0.8000,1.2960,1.552
0.0000,0.8200,1.2690,1.468
0.0000,0.8700,1.2460,1.394
0.0000,0.8900,1.2300,1.329
0.0000,0.9100,1.2230,1.271
0.0000,0.9400,1.2130,1.219
0.0000,0.9600,1.2060,1.172
0.0000,0.9900,1.1960,1.129
1.1000,1.0100,1.1860,1.091
0.5000,1.0300,1.1800,1.060
0.0000,1.0300,1.1730,1.026
0.4000,1.0500,1.2490,0.995
0.0000,1.0800,1.2260,0.967
0.0000,1.1000,1.1270,0.940
0.0000,1.1200,1.0770,0.915
0.0000,1.1400,1.0530,0.891
0.7000,1.1700,1.0430,0.869
0.3000,1.1900,1.0430,0.849
0.0000,1.2100,1.0430,0.829
0.0000,1.2300,1.0430,0.810
1.6000,1.2500,1.0470,0.797
0.8000,1.2600,1.0670,0.791
3.8000,1.2800,1.1300,0.807
2.9000,1.3100,1.3520,0.892
2.1000,1.3300,1.5720,0.910
0.0000,1.3500,1.6380,0.882
0.0000,1.3800,1.4120,0.843
0.0000,1.4100,1.3390,0.818
0.3000,1.4300,1.2930,0.798
0.0000,1.4600,1.2460,0.780
0.0000,1.4900,1.2000,0.762
0.4000,1.5400,1.1530,0.745
1.2000,1.5700,1.1130,0.729
6.2000,1.6000,1.2330,0.773
0.9000,1.6200,1.6950,0.892
9.2000,1.6500,1.5680,0.932
7.2000,1.6700,2.0270,1.223
0.9000,1.7000,2.2760,1.314
3.7000,1.7200,1.7280,1.200
4.9000,1.7400,1.8110,1.253
7.6000,1.7600,2.2100,1.423
0.1000,1.7800,2.5750,1.568
4.8000,1.7600,1.9270,1.472
3.7000,1.7800,2.0270,1.537
0.2000,1.8000,1.7940,1.512
0.0000,1.8300,1.6250,1.391
0.0000,1.8600,1.5220,1.306
4.1000,1.8900,1.5950,1.284
1.5000,1.9200,2.0100,1.316
0.0000,1.9500,2.0270,1.233
0.0000,1.9900,1.8110,1.165
0.0000,2.0200,1.5950,1.115
1.6000,2.0900,1.3960,1.069
0.9000,2.1300,1.3760,1.028
0.0000,2.1700,1.3760,0.991
18.5000,2.2000,1.4320,1.230
2.1000,2.2400,2.8080,1.847
0.2000,2.2800,2.2600,1.590
0.9000,2.3200,1.7610,1.402
0.0000,2.3500,1.6620,1.324
0.0000,2.3900,1.5820,1.254
0.0000,2.4300,1.4990,1.192
0.0000,2.5000,1.4190,1.136
0.3000,2.5300,1.3430,1.085
0.0000,2.5700,1.2660,1.038
8.6000,2.6000,1.2300,1.085
1.4000,2.6300,2.2930,1.243
16.7000,2.6500,2.8910,1.378
4.3000,2.6800,4.0210,1.884
4.4000,2.7000,2.9580,1.752
0.0000,2.7200,2.5750,1.621
3.3000,2.7300,2.1930,1.502
0.0000,2.6900,2.2760,1.424
2.0000,2.7100,2.2600,1.337
0.0000,2.7200,2.0100,1.261
0.0000,2.7400,1.7940,1.197
0.0000,2.7600,1.7110,1.138
0.0000,2.7900,1.6050,1.085
1.1000,2.8100,1.4890,1.037
0.0000,2.8300,1.3790,0.994
2.1000,2.8600,1.2830,0.954
10.2000,2.8900,1.4820,1.017
0.0000,2.9600,2.2430,1.204
0.0000,2.9900,1.6620,1.089
0.0000,3.0200,0.9940,1.005
1.5000,3.0400,0.7710,0.962
0.0000,3.0600,0.7080,0.924
0.0000,3.0900,0.6610,0.888
0.0000,3.1100,0.5780,0.854
0.0000,3.1300,0.5480,0.823
0.0000,3.1500,0.5480,0.794
0.0000,3.1600,0.5520,0.767
0.0000,3.1400,0.5220,0.741
0.0000,3.1500,0.5280,0.717
0.0000,3.1700,0.4950,0.694
0.5000,3.1900,0.4750,0.673
0.0000,3.2000,0.5180,0.653
0.0000,3.2200,0.5050,0.634
39.3000,3.2400,0.8970,0.955
8.7000,3.2600,3.0070,1.911
9.1000,3.2900,1.5050,1.858
0.0000,3.3100,1.0430,1.772
9.0000,3.3300,0.8140,1.674
11.5000,3.4300,2.0600,1.907
0.9000,3.4500,1.5620,2.066
0.0000,3.4700,0.9600,1.802
0.0000,3.4800,0.7380,1.615
1.7000,3.4900,0.6580,1.495
0.0000,3.5000,0.6850,1.393
0.0000,3.5000,0.6780,1.304
0.0000,3.5000,0.6350,1.225
2.1000,3.4900,0.5580,1.156
0.0000,3.4900,0.6750,1.095
0.0000,3.3800,0.5480,1.040
0.0000,3.3700,0.5080,0.990
0.0000,3.3600,0.4290,0.944
0.0000,3.3600,0.4150,0.903
0.0000,3.3600,0.4020,0.865
0.0000,3.3600,0.3890,0.830
0.0000,3.3600,0.3820,0.798
0.0000,3.3700,0.3820,0.768
2.4000,3.3800,0.3820,0.740
8.7000,3.3900,0.4250,0.757
1.3000,3.4600,0.5320,0.828
0.0000,3.4700,0.4690,0.766
0.0000,3.4800,0.4090,0.722
0.0000,3.5000,0.3890,0.697
0.0000,3.5100,0.3790,0.675
0.0000,3.5200,0.3490,0.653
0.0000,3.5300,0.3490,0.633
0.0000,3.5500,0.3210,0.614
15.1000,3.5600,0.3420,0.668
26.5000,3.5700,1.1200,1.017
0.0000,3.6200,1.1760,1.403
1.4000,3.6300,0.5450,1.164
12.8000,3.6300,0.4690,1.129
1.2000,3.6400,0.7410,1.302
0.0000,3.6300,0.6050,1.172
0.0000,3.6300,0.4920,1.073
0.4000,3.6200,0.4090,1.017
1.2000,3.6100,0.3590,0.967
0.0000,3.6000,0.3560,0.922
1.6000,3.5800,0.3560,0.881
1.1000,3.4700,0.3760,0.844
0.2000,3.4500,0.4090,0.810
0.0000,3.4400,0.3590,0.778
0.0000,3.4300,0.3590,0.749
0.0000,3.4200,0.3170,0.722
0.6000,3.4200,0.2860,0.697
0.5000,3.4200,0.2860,0.673
0.2000,3.4200,0.2840,0.651
0.0000,3.4200,0.2720,0.631
20.1000,3.4300,0.3040,0.717
0.0000,3.5800,0.4150,0.944
0.0000,3.5900,0.3220,0.824
0.0000,3.5900,0.2890,0.746
0.0000,3.5900,0.2760,0.719
0.0000,3.5900,0.2640,0.694
0.7000,3.5800,0.2430,0.670
0.0000,3.5700,0.2430,0.648
0.0000,3.5500,0.2390,0.628
0.0000,3.5300,0.2340,0.609
0.0000,3.5100,0.2280,0.590
0.0000,3.4800,0.2230,0.573
0.8000,3.3400,0.2290,0.557
1.4000,3.3100,0.2410,0.542
0.0000,3.2800,0.2260,0.528
0.0000,3.2500,0.2110,0.514
0.2000,3.2300,0.2210,0.502
0.0000,3.2100,0.2310,0.489
2.0000,3.1900,0.2360,0.478
7.1000,3.1700,0.2510,0.481
0.0000,3.1500,0.2630,0.502
3.0000,3.1300,0.2560,0.477
0.0000,3.1500,0.2430,0.459
1.9000,3.1400,0.2560,0.449
19.0000,3.1200,0.2530,0.500
0.0000,3.1100,0.3760,0.633
0.0000,3.1000,0.3070,0.556
7.5000,3.0800,0.2530,0.530
4.3000,3.0700,0.2940,0.568
0.0000,3.0600,0.3460,0.548
8.5000,3.0400,0.3110,0.546
1.5000,3.0300,0.3720,0.589
0.1000,3.0600,0.3560,0.550
5.6000,3.0500,0.3420,0.535
4.6000,3.0300,0.4120,0.558
1.6000,3.0100,0.4720,0.550
1.0000,2.9800,0.4980,0.524
1.1000,2.9500,0.3990,0.507
2.3000,2.9200,0.3360,0.495
2.3000,2.8900,0.3620,0.484
13.4000,2.8600,0.3220,0.525
5.2000,2.8200,0.6550,0.648
0.1000,2.7800,0.5250,0.613
8.2000,2.6700,0.4190,0.591
2.2000,2.6300,0.7140,0.644
1.1000,2.5900,0.8940,0.597
0.0000,2.5500,0.5180,0.566
2.1000,2.5100,0.4120,0.552
1.8000,2.4700,0.3660,0.538
0.0000,2.4400,0.3760,0.525
0.0000,2.4000,0.3490,0.513
0.0000,2.3600,0.3320,0.501
2.2000,2.3300,0.3320,0.490
0.5000,2.3100,0.3260,0.479
0.0000,2.2800,0.3120,0.469
0.4000,2.2400,0.2970,0.459
0.6000,2.2100,0.2740,0.449
0.0000,2.1700,0.2590,0.440
0.0000,2.1400,0.2530,0.432
0.8000,2.1000,0.2460,0.424
0.3000,2.0700,0.2460,0.416
0.0000,2.0300,0.2530,0.408
0.1000,2.0000,0.2580,0.401
6.6000,1.9600,0.2720,0.412
5.9000,1.9200,0.3320,0.464
2.7000,1.8800,0.3560,0.479
13.9000,1.8500,0.3690,0.511
